Category,Brand,Description,Keyword,UPC,MSRP,Quantity,SKU,Color,Size,StyleNumber,StyleName,ParentCategory,Processed_Description,Category_Encoded,Predicted_Category
Accessories - Winter - Apres & Casual Footwear,Vans,U Mountain Mule Mte  Blackgum 10,Vans,192361770026,69.95,0,UMO265074470,Black/Gum,10,VN0A54FOB9M,U MOUNTAIN MULE MTE,Accessories ,"['u', 'mountain', 'mule', 'mte', 'blackgum', '10']",11,
Clothing - Winter - Outerwear - Mens,Burton,Men's Goretex Ballast Pant Limeade L,Burton,190450988550,209.95,0,MEN30496308L,Limeade,L,149911,Men's GORE‑TEX Ballast Pant,Clothing ,"['men', ""'s"", 'goretex', 'ballast', 'pant', 'limeade', 'l']",55,
Accessories - Winter - Goggles,Smith Optics,"Smith - Daredevil Goggles - Crimson Swirled, RC36",Smith Optics,716736827889,35.0,24,DAR29802863S,Crimson Swirled | RC36,OS,M00671,Daredevil,Accessories ,"['smith', 'daredevil', 'goggles', 'crimson', 'swirled', 'rc36']",17,
Clothing - Winter - Outerwear,Obermeyer,Force Pant Black L,Obermeyer,888555839906,229.0,1,FOR15787001L,Black,L,25071,Force Pant,Clothing ,"['force', 'pant', 'black', 'l']",53,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Toddler Scrambler Mitt T2 - Crafty Black - TDL,Dakine,194626501659,30.0,2,DAK35266788L,CRAFTYBLACK,TDL,10002535,DAKINE SCRAMBLER MITT T2,Accessories ,"['dakine', 'toddler', 'scrambler', 'mitt', 't2', 'crafty', 'black', 'tdl']",16,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Hornet Mitt T3 - Snow/DayBlack - M,Dakine,194626498751,20.0,1,DAK33340465M,SNOW DAYBLACK,TDM,10002531,DAKINE HORNET MITT T3,Accessories ,"['dakine', 'hornet', 'mitt', 't3', 'snow/dayblack']",16,
Snowboard Hardgoods - Boards - Men,Yes.,Yes - Jackpot Snowboard - Checkerboard Twin - M's 156,Yes.,7640414095976,479.95,0,JAC26650586,Checkerboard Twin,156,Y.21.SNM,JACKPOT,Snowboard Hardgoods ,"['yes', 'jackpot', 'snowboard', 'checkerboard', 'twin', ""'s"", '156']",99,
Clothing - Winter - Outerwear - Womens,Obermeyer,Obermeyer - Tuscany II Jacket - Floral It - W's 16,Obermeyer,888555545043,259.0,0,TUS253250696,Floral It!,16,11164,Tuscany II Jacket,Clothing ,"['obermeyer', 'tuscany', 'ii', 'jacket', 'floral', 'w', ""'s"", '16']",59,Clothing - Winter - Outerwear - Womens
Clothing - Winter - Outerwear - Mens,Quiksilver,Quiksilver - Tamarack Jacket - Navy Blazer - M's XL,Quiksilver,194476017652,239.95,0,TAM22853306L,Navy Blazer,XL,EQYTJ03269,TAMARACK JK,Clothing ,"['quiksilver', 'tamarack', 'jacket', 'navy', 'blazer', ""'s"", 'xl']",55,
Clothing - Winter - Baselayer - Mens,Airblaster,Airblaster - Classic Ninja Suit - OG Dinoflage - M's S,Airblaster,847678150206,120.0,0,CLA2865458S,Og Dinoflage,S,ABMNJ1_004,CLASSIC NINJA SUIT,Clothing ,"['airblaster', 'classic', 'ninja', 'suit', 'og', 'dinoflage', ""'s""]",50,Snowboard Hardgoods - Boots - Men
Snowboard Hardgoods - Boots - Women,Burton,Women's Mint Boot Black 7.5,Burton,190450208559,199.95,0,WOM218887115,Black,7.5,106271,Women's Mint Boot,Snowboard Hardgoods ,"['women', ""'s"", 'mint', 'boot', 'black', '7.5']",104,
Ski Hardgoods - Boots - Women,Salomon,Salomon - S/Pro 90 W GW Ski Boots - Belluga/Metallic - W's 25.5,Salomon,193128640903,499.0,0,SPR216986735,Belluga Metallic,25/25.5,L41486300,S/PRO 90 W GW,Ski Hardgoods ,"['salomon', 's/pro', '90', 'w', 'gw', 'ski', 'boots', 'belluga/metallic', 'w', ""'s"", '25.5']",86,
"Accessories - Winter - Hats, Hoods, Collars",Airblaster,Airblaster - Commodity Beanie - Charcaol - OSFA,Airblaster,847678217541,25.0,0,COM20929377S,CHA,OS,AB24BEA_05,COMMODITY BEANIE,Accessories ,"['airblaster', 'commodity', 'beanie', 'charcaol', 'osfa']",18,
Accessories - Summer - Clothing - Gloves ,Oakley,Oakley - ALL MOUNTAIN MTB GLOVE - Hunter Green (Helmet) - XL,Oakley,193517734824,35.0,0,ALL38448252L,Hunter Green (Helmet),XL,FOS900878,ALL MOUNTAIN MTB GLOVE,Accessories ,"['oakley', 'mountain', 'mtb', 'glove', 'hunter', 'green', 'helmet', 'xl']",2,Accessories - Winter - Gloves & Mittens
Clothing - Winter - Street Wear - Mens,Salomon,Salomon - Snowshelter Ted Hoodie - Ebony - M's S,Salomon,193128342869,150.0,0,ESS29442642S,Ebony,S,LC1365200,ESSENTIAL WARM TED HOODIE M,Clothing ,"['salomon', 'snowshelter', 'ted', 'hoodie', 'ebony', ""'s""]",65,Clothing - Winter - Street Wear - Mens
Snowboard Hardgoods - Bindings - Women,Union,Union- Legacy Snowboard Binding - Purple W's S,Union,810033086243,319.95,0,LEG10856346S,Pur,S,3211203,Legacy,Snowboard Hardgoods ,"['union-', 'legacy', 'snowboard', 'binding', 'purple', 'w', ""'s""]",96,Accessories - Winter - Socks
Accessories - Summer - Hats & Ball Caps,Line Skis,Traverse Trucker Cap Black 1Sz,Line Skis,886745904557,24.95,0,TRA2615526Z,Black,1SZ,A2001014010,TRAVERSE TRUCKER CAP,Accessories ,"['traverse', 'trucker', 'cap', 'black', '1sz']",4,
X-Country Hardgoods - Poles,Fischer,Fischer - XC Sport Pole - 135CM,Fischer,9002972312397,35.0,0,XCS10669615,Black/White,135,Z44218,XC SPORT,Cross Country,"['fischer', 'xc', 'sport', 'pole', '135cm']",107,
Snowboard Hardgoods - Bindings - Women,Burton,Burton - Scribe Re:Flex Bindings - Black - W's M,Burton,193177359986,229.95,2,WOM41120292M,Black,M,105521,Women's Scribe Re:Flex Snowboard Bindings,Snowboard Hardgoods ,"['burton', 'scribe', 'flex', 'bindings', 'black', 'w', ""'s""]",96,
Snowboard Hardgoods - Boots - Men,Thirty Two,Thirty Two - Shifty BOA '22 - Black - M's 12,Thirty Two,194691354662,239.95,0,SHI185539272,BLACK,12,8105000488,SHIFTY BOA '22,Snowboard Hardgoods ,"['thirty', 'two', 'shifty', 'boa', ""'22"", 'black', ""'s"", '12']",103,
Ski Hardgoods - Boots - Men,Tecnica,Tecnica - Mach Sport HV100 Ski Boot - Graphite - 27.5,Tecnica,888341667904,480.0,0,MAC256655245,Graphite,275,10187000062,MACH SPORT HV 100,Ski Hardgoods ,"['tecnica', 'mach', 'sport', 'hv100', 'ski', 'boot', 'graphite', '27.5']",85,
Bikes - Mountain - Hardtail,TREK,Marlin 6 Ml 29 Matte Dnister Black,TREK,601842581469,849.99,0,5259618,Matte Dnister Black,ML,2016600,MARLIN 6,Bikes ,"['marlin', '6', 'ml', '29', 'matte', 'dnister', 'black']",26,
Accessories - Winter - Apres & Casual Footwear,Vans,Vans - Snow Lodge Slipper - Black/White - 8,Vans,195440309292,80.0,0,USN439045588,(Y28) Black/White,8,VN0A5JI3Y28,U SNOW LODGE SLIPPER MID VANSGUARD,Accessories ,"['vans', 'snow', 'lodge', 'slipper', 'black/white', '8']",11,
Clothing - Winter - Baselayer - Kids,Airblaster,Airblaster - Ninja Suit - OG Dinoflage - Youth M,Airblaster,847678192022,90.0,0,YOU26116693M,Og Dinoflage,M,ABKNJ1_002,YOUTH NINJA SUIT,Clothing ,"['airblaster', 'ninja', 'suit', 'og', 'dinoflage', 'youth']",49,
Accessories - Winter - Gloves & Mittens,Dakine,Galaxy Gore-Tex Mitt Dark Rose  Caramel L,Dakine,610934362534,90.0,0,GAL33527145L,Dark Rose / Caramel,L,10002023,GALAXY GORE-TEX MITT,Accessories ,"['galaxy', 'gore-tex', 'mitt', 'dark', 'rose', 'caramel', 'l']",16,
X-Country Hardgoods - Poles,Swix,Swix - Elite Touring Poles - Black/Red - 140 CM,Swix,7045952550657,39.99,0,SWI33125507M,Black/Red,140,95061900,Elite,Cross Country,"['swix', 'elite', 'touring', 'poles', 'black/red', '140', 'cm']",107,Ski Hardgoods - Poles
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Kodiak Gore-Tex Glove - Black/Grey - M,Dakine,194626499376,160.0,0,DAK3612162M,BLACKGREY,M,10003974,DAKINE KODIAK GORE-TEX GLOVE T1,Accessories ,"['dakine', 'kodiak', 'gore-tex', 'glove', 'black/grey']",16,
Accessories - Summer - Bags,Dakine,Dakine - Ranger Duffle Bag - Cascade Camo - 90L- OS,Dakine,194626410319,140.0,0,RAN26337414O,Cascade Camo,OS,10003255,RANGER DUFFLE 90L,Accessories ,"['dakine', 'ranger', 'duffle', 'bag', 'cascade', 'camo', '90l-', 'os']",1,
Accessories - Winter - Bags,Dakine,Padded Ski Sleeve Shadow Dash 190Cm,Dakine,610934383225,90.0,0,PAD30953468M,Shadow Dash,190CM,10001464,PADDED SKI SLEEVE,Accessories ,"['padded', 'ski', 'sleeve', 'shadow', 'dash', '190cm']",12,Accessories - Winter - Gloves & Mittens
Logo Merchandise - Clothing - Hats,Locale Outdoor,Locale - Parajumper Flatbrim Cap - Teal/Navy - OSFA,Locale Outdoor,811110172170,32.0,0,PAR24628132S,Teal,OS,C264,Parajumper - Teal & Navy,Logo Merchandise ,"['locale', 'parajumper', 'flatbrim', 'cap', 'teal/navy', 'osfa']",71,
Clothing - Winter - Outerwear - Mens,Head,Head - Race Rain Coat M - Black/White  - L,Head,726424895489,169.0,0,RAC27766044L,Black And White,L,821809,RACE Rain Coat M,Clothing ,"['head', 'race', 'rain', 'coat', 'black/white', 'l']",55,
Accessories - Winter - Socks,Burton,Men's Weekend Midweight Sock 2-Pack Mood Indigo L,Burton,190450265507,31.95,2,MEN40292096L,Mood Indigo,L,149261,Men's Weekend Midweight Sock 2-Pack,Accessories ,"['men', ""'s"", 'weekend', 'midweight', 'sock', '2-pack', 'mood', 'indigo', 'l']",20,Accessories - Winter - Socks
Snowboard Hardgoods - Boards - Men,Yes.,Yes - Typo Snowboard - Makoto Black - M's 163W,Yes.,7640414096102,449.95,0,TYP19443573W,Makoto Black,163W,Y.21.SNM,TYPO,Snowboard Hardgoods ,"['yes', 'typo', 'snowboard', 'makoto', 'black', ""'s"", '163w']",99,Snowboard Hardgoods - Boots - Men
Ski Hardgoods - Bindings - Alpine,Salomon,Salomon - Warden MNC 13 Binding - Oil Green - 115 ,Salomon,889645996516,300.0,0,NWA248399285,Oil Green.,C115,L4083330025,N WARDEN MNC 13,Ski Hardgoods ,"['salomon', 'warden', 'mnc', '13', 'binding', 'oil', 'green', '115']",82,
Clothing - Winter - Baselayer - Womens,Terramar,Terramar - Lined Leggings - Black - W's S,Terramar,721357354898,20.0,0,WLI19276094S,Black,S,W9120,W LINED LEGGINGS,Clothing ,"['terramar', 'lined', 'leggings', 'black', 'w', ""'s""]",51,
Ski Hardgoods - Bindings - Alpine,Salomon,Salomon - Warden MNC 13 Binding - Dress Blue - 115,Salomon,193128428372,325.0,0,NWA257498215,Dress Blue,C115,L4119170025,N WARDEN MNC 13,Ski Hardgoods ,"['salomon', 'warden', 'mnc', '13', 'binding', 'dress', 'blue', '115']",82,
Accessories - Winter - Socks,Fox River,Fox River Mills - Boreal MW OTC Sock - Grey - JR Small,Fox River,087839564545,14.0,2,BOR12710865M,Grey,Small,5109,BOREAL,Accessories ,"['fox', 'river', 'mills', 'boreal', 'mw', 'otc', 'sock', 'grey', 'jr', 'small']",20,
Snowboard Hardgoods - Bindings - Women,Union,Union - Legacy Snowboard Binding - Purple W's M,Union,810033086250,319.95,0,LEG10449196M,Pur,M,3211203,Legacy,Snowboard Hardgoods ,"['union', 'legacy', 'snowboard', 'binding', 'purple', 'w', ""'s""]",96,Snowboard Hardgoods - Bindings - Men
Clothing - Winter - Outerwear - Mens,Burton,"Burton - Cargo Pant, Short - True Black - M's M",Burton,190450983708,169.95,0,MEN28147940M,True Black,M,101871,Men's Cargo Pant - Short,Clothing ,"['burton', 'cargo', 'pant', 'short', 'true', 'black', ""'s""]",55,
Accessories - Winter - Socks,Stance,Stance - The Chair Socks - Purple - L,Stance,190107521345,19.9899,0,THE16142826L,PURPLE,L,A555D22THC,THE CHAIR,Accessories ,"['stance', 'chair', 'socks', 'purple', 'l']",20,
Clothing - Winter - Outerwear - Kids,Airblaster,Airblaster - Freedom Suit - Light Blue Daisy- Youth L,Airblaster,847678175162,169.95,0,AIR41877049L,Light Blue Daisy,Youth L,AB23KS1_130,YOUTH FREEDOM SUIT,Clothing ,"['airblaster', 'freedom', 'suit', 'light', 'blue', 'daisy-', 'youth', 'l']",54,
Accessories - Winter - Helmets,Smith Optics,Smith - Glide Jr. MIPS - Lectric Flamingo - Youth X-Small (48-52cm),Smith Optics,716736825069,90.0,1,GLI37331810L,Lectric Flamingo,Youth X-Small,E00525,Glide Jr. MIPS,Accessories ,"['smith', 'glide', 'jr.', 'mips', 'lectric', 'flamingo', 'youth', 'x-small', '48-52cm']",19,
Accessories - Winter - Bags,Dakine,Heli Strap Black Os,Dakine,610934318333,7.0,0,HEL16932915S,Black,OS,10001579,HELI STRAP,Accessories ,"['heli', 'strap', 'black', 'os']",12,Accessories - Winter - Bags
Clothing - Winter - Outerwear - Kids,Obermeyer,Obermeyer - Livy Jacket - Pink-A-Lot - Youth 7,Obermeyer,888555524284,119.5,0,LIV196786847,Pink-A-Lot,7,51070,Livy Jacket,Clothing ,"['obermeyer', 'livy', 'jacket', 'pink-a-lot', 'youth', '7']",54,
Ski Hardgoods - Boots - Men,Salomon,Salomon - S/Pro 120 GW AT Ski Boots - Blac/ RainyDay/Belluga - M's  27/27.5,Salomon,193128642600,800.0,0,SPR225866815,Black,27/27.5,L41481300,S/PRO 120 GW,Ski Hardgoods ,"['salomon', 's/pro', '120', 'gw', 'ski', 'boots', 'blac/', 'rainyday/belluga', ""'s"", '27/27.5']",85,Ski Hardgoods - Boots - Men
Accessories - Winter - Socks,Locale Outdoor,Locale - Treeline Colorado Midweight Socks - Navy - OSFA ,Locale Outdoor,811110021294,17.95,11,TRE27817793S,Navy,OS,S_60,Treeline Socks - Colorado,Accessories ,"['locale', 'treeline', 'colorado', 'midweight', 'socks', 'navy', 'osfa']",20,
Clothing - Shoes - Street and Casual,Salomon,Salomon - X Ultra 4 Mid GTX Shoe - Quartz/Black - W's 8.5,Salomon,193128938413,165.0,0,XUL174384735,Quartz/Black,9,L41624900,X ULTRA 4 MID GTX,Clothing ,"['salomon', 'x', 'ultra', '4', 'mid', 'gtx', 'shoe', 'quartz/black', 'w', ""'s"", '8.5']",41,
Clothing - Summer - Belts,Arcade,Arcade - Vision Belt - Black/Black - OSFA,Arcade,810015060292,34.99,0,ARC30689622A,Black/Black,OSFA,A14200-002-OSFA,Vision,Clothing ,"['arcade', 'vision', 'belt', 'black/black', 'osfa']",46,
Clothing - Winter - Outerwear - Kids,Airblaster,Airblaster - YT Freedom Suit - Thistle Daisy - S,Airblaster,847678209324,190.0,0,YOU20515013S,TDS,S,AB24KS1_130,YOUTH FREEDOM SUIT,Clothing ,"['airblaster', 'yt', 'freedom', 'suit', 'thistle', 'daisy']",54,
Accessories - Winter - Apres & Casual Footwear,Vans,U Standard Mte  Camocheckerboard 8,Vans,192361763769,129.95,0,UST294669448,Camo/Checkerboard,8,VN0A54FR0BU,U STANDARD MTE,Accessories ,"['u', 'standard', 'mte', 'camocheckerboard', '8']",11,
Clothing - Winter - Outerwear - Womens,Burton,Burton - Tulum Stretch Jacket - Martini Olive/Creme Brulee - W's M,Burton,193177290197,259.95,0,WOM47943728M,Martini Olive / Crème Brûlée,M,220741,Women's Tulum Stretch Jacket,Clothing ,"['burton', 'tulum', 'stretch', 'jacket', 'martini', 'olive/creme', 'brulee', 'w', ""'s""]",59,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Tracker Mitt T2 - Vintage - Camo/Black - K/S,Dakine,194626504537,40.0,0,DAK37385148S,VINTAGE CAMOBLACK,KS,10003190,DAKINE TRACKER MITT T2,Accessories ,"['dakine', 'tracker', 'mitt', 't2', 'vintage', 'camo/black', 'k/s']",16,
Clothing - Winter - Outerwear - Womens,Obermeyer,Keystone Pant Black 8,Obermeyer,888555572599,109.5,0,KEY181126538,Black,8,15111,Keystone Pant,Clothing ,"['keystone', 'pant', 'black', '8']",59,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Tracker Mitt T2 - Vintage - Camo/Black - K/L,Dakine,194626504520,40.0,0,DAK3771938L,VINTAGE CAMOBLACK,KL,10003190,DAKINE TRACKER MITT T2,Accessories ,"['dakine', 'tracker', 'mitt', 't2', 'vintage', 'camo/black', 'k/l']",16,
Ski Hardgoods - Skis - Women,Salomon,Salomon - N Stance W 88 Ski - W's 168,Salomon,193128297619,725.0,0,NST183919168,Black,168,L41137400168,N STANCE W 88,Ski Hardgoods ,"['salomon', 'n', 'stance', 'w', '88', 'ski', 'w', ""'s"", '168']",91,
Accessories - Winter - Gloves & Mittens,Dakine,Storm Liner Glove Black Xxl,Dakine,610934079227,22.0,0,STO23705819L,Black,XXL,10000697,STORM LINER GLOVE,Accessories ,"['storm', 'liner', 'glove', 'black', 'xxl']",16,
Clothing - Winter - Street Wear - Mens,Armada,Icon Tee Fir X-Large,Armada,842339163267,29.95,0,ICO16906088E,Fir,X-Large,R00409040,Icon Tee,Clothing ,"['icon', 'tee', 'fir', 'x-large']",65,Clothing - Winter - Street Wear - Mens
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Team Voyager Mitt - Chris Benchetler - M,Dakine,194626407579,95.0,0,TEA31344633M,Chris Benchetler,M,10003547,TEAM VOYAGER MITT,Accessories ,"['dakine', 'team', 'voyager', 'mitt', 'chris', 'benchetler']",16,
Ski Hardgoods - Boots - Men,Tecnica,Tecnica - Mach Sport HV100 Ski Boot - Graphite - 29.5,Tecnica,888341667942,480.0,0,MAC259408165,Graphite,295,10187000062,MACH SPORT HV 100,Ski Hardgoods ,"['tecnica', 'mach', 'sport', 'hv100', 'ski', 'boot', 'graphite', '29.5']",85,
Ski Hardgoods - Bindings,Armada,Armada - N Strive 12 GW Ski Bindings - Dusty Blue - L100,Armada,842339208531,229.95,0,NST244191610,Dusty Blue,L100,RD0000080,N STRIVE 12 GW,Ski Hardgoods ,"['armada', 'n', 'strive', '12', 'gw', 'ski', 'bindings', 'dusty', 'blue', 'l100']",80,
Accessories - Winter - Socks,Stance,Stance - Manga Mando Sock - Black - M,Stance,190107479844,19.98,1,MAN16753210M,Black,M,A545D21MMO,MANGA MANDO,Accessories ,"['stance', 'manga', 'mando', 'sock', 'black']",20,Accessories - Winter - Socks
Accessories - Winter - Helmets,Salomon,Salomon - Husk Pro Helmet - White - S (53-56cm),Salomon,193128620707,219.95,1,HUS175177546,White,S,L41528000,HUSK PRO,Accessories ,"['salomon', 'husk', 'pro', 'helmet', 'white', '53-56cm']",19,
"Accessories - Winter - Hats, Hoods, Collars",Burton,Burton - Buji Beanie - Spice,Burton,193177384919,29.95,0,BUJ18489142Z,Spice,1SZ,104901,Buji Beanie,Accessories ,"['burton', 'buji', 'beanie', 'spice']",18,Accessories - Winter - Gloves & Mittens
Ski Hardgoods - Skis - Women,Nordica,Nordica - Santa Ana 84 Ski - White/Blue - 151,Nordica,888341860510,650.0,0,SAN226632961,White - Blue,151,0A132200001,SANTA ANA 84,Ski Hardgoods ,"['nordica', 'santa', 'ana', '84', 'ski', 'white/blue', '151']",91,
"Accessories - Winter - Hats, Hoods, Collars",Burton,Burton - DND Beanie 3-Pack - Folkstone Grey/Foxglove Violet/Creme Brulee,Burton,193177286718,34.95,0,DND54683558Z,Folkstone Gray / Foxglove Violet / Crème Brûlée,1SZ,111231,DND Beanie 3-Pack,Accessories ,"['burton', 'dnd', 'beanie', '3-pack', 'folkstone', 'grey/foxglove', 'violet/creme', 'brulee']",18,"Accessories - Winter - Hats, Hoods, Collars"
Accessories - Winter - Apres & Casual Footwear,Vans,Vans - Snow Lodge Slipper - Bone/Black - 13,Vans,195440309933,80.0,0,USN431367823,(A17) Bone/Black,13,VN0A5JI3A17,U SNOW LODGE SLIPPER MID VANSGUARD,Accessories ,"['vans', 'snow', 'lodge', 'slipper', 'bone/black', '13']",11,
Accessories - Winter - Bags,Dakine,Heli Pro 24L Backpack - Women's - Solstice Floral,Dakine,194626409719,120.0,0,HEL38166970L,Solstice Floral,OS,10003271,WOMEN'S HELI PRO 24L,Accessories ,"['heli', 'pro', '24l', 'backpack', 'women', ""'s"", 'solstice', 'floral']",12,
Accessories - Winter - Socks,Stance,Stance - Brita Snow Sock - Offwhite - S,Stance,190107480932,24.99,0,BRI14647338S,Offwhite,S,A758D21BRI,BRITA,Accessories ,"['stance', 'brita', 'snow', 'sock', 'offwhite']",20,Accessories - Winter - Socks
Snowboard Hardgoods - Boots - Men,Thirty Two,Thirty Two - Lashed Bradshaw Snowboard Boots - Brown - M's 12,Thirty Two,194691350725,299.95,0,LAS231650042,BROWN,12,8105000478,LASHED BRADSHAW '22,Snowboard Hardgoods ,"['thirty', 'two', 'lashed', 'bradshaw', 'snowboard', 'boots', 'brown', ""'s"", '12']",103,
Ski Hardgoods - Bindings - Alpine,Armada,N Warden Mnc 13 Armada B Black C115,Armada,842339137428,325.0,0,NWA284303495,Black,C115,RD0000004,N WARDEN MNC 13 Armada B,Ski Hardgoods ,"['n', 'warden', 'mnc', '13', 'armada', 'b', 'black', 'c115']",82,
Accessories - Winter - Gloves & Mittens,Dakine,Bronco Gore-Tex Glove Carbon  Black S,Dakine,610934360721,70.0,0,BRO30881807S,Carbon / Black,S,10003131,BRONCO GORE-TEX GLOVE,Accessories ,"['bronco', 'gore-tex', 'glove', 'carbon', 'black']",16,Accessories - Winter - Gloves & Mittens
Clothing - Winter - Outerwear,Obermeyer,Flex 1/4 Zip Admiral L,Obermeyer,888555831573,119.0,0,FLE177504L,Admiral,L,29016,Flex 1/4 Zip,Clothing ,"['flex', '1/4', 'zip', 'admiral', 'l']",53,
Clothing - Winter - Outerwear - Womens,Salomon,Salomon - Slalom Jacket - Crystal Blue/White/Mallard Blue - W's L,Salomon,193128693336,350.0,0,SLA41366157L,Crystal Blue,L,LC1566400,SLALOM JACKET W,Clothing ,"['salomon', 'slalom', 'jacket', 'crystal', 'blue/white/mallard', 'blue', 'w', ""'s"", 'l']",59,
Snowboard Hardgoods - Boots - Men,Burton,Burton - Swath Step On Snowboard Boots - Black - M's 10,Burton,193177038799,399.99,0,MEN361572410,Black,10,214281,Men's Swath Step On® Snowboard Boots,Snowboard Hardgoods ,"['burton', 'swath', 'step', 'snowboard', 'boots', 'black', ""'s"", '10']",103,
Clothing - Winter - Baselayer - Mens,Burton,Burton - Midweight X Base Layer 3/4 Boot Pant - True Black -M's M,Burton,193177006583,59.95,0,MEN53220583M,True Black,M,221961,Men's Midweight X Base Layer Three-Quarter Boot Pant,Clothing ,"['burton', 'midweight', 'x', 'base', 'layer', '3/4', 'boot', 'pant', 'true', 'black', '-m', ""'s""]",50,
"Accessories - Winter - Hats, Hoods, Collars",Armada,Armada - Staple Beanie - Sunset - OSFA,Armada,842339181988,16.95,1,ARM28425541A,Sunset,OSFA,R00508,Armada Staple Beanie,Accessories ,"['armada', 'staple', 'beanie', 'sunset', 'osfa']",18,
Ski Hardgoods - Bindings - Alpine,Salomon,Salomon - N L7 GW Binding - Black/White - B80 ,Salomon,193128290849,119.95,7,NL7182113420,Black,B80,L4113110010,N L7 GW,Ski Hardgoods ,"['salomon', 'n', 'l7', 'gw', 'binding', 'black/white', 'b80']",82,
Ski Hardgoods - Bindings,Saloman,STAGE GRIPWALK 10 ALL MOUNTAIN BLACK L100,Saloman,195751316644,160.0,4,STA352981450,Black,L100,L47320500+,STAGE GRIPWALK 10,Ski Hardgoods ,"['stage', 'gripwalk', '10', 'mountain', 'black', 'l100']",80,Accessories - Winter - Apres & Casual Footwear
Clothing - Winter - Street Wear - Mens,Line Skis,Stencil Hoodie Black L,Line Skis,886745904656,49.95,0,STE19658681L,Black,L,A20010060,STENCIL HOODIE,Clothing ,"['stencil', 'hoodie', 'black', 'l']",65,
Logo Merchandise - Clothing - Hats,Locale Outdoor,Locale - Revive Recycled Beanie - Heather Dijon - OSFA,Locale Outdoor,811110195711,31.95,0,REV34851426S,Heather Dijon,OS,8557,Revive Beanie Recycled,Logo Merchandise ,"['locale', 'revive', 'recycled', 'beanie', 'heather', 'dijon', 'osfa']",71,
Clothing - Winter - Outerwear - Mens - Jackets,Quiksilver,Quiksilver - Carlson Stretch Quest Jkt - Tye Dye True Black - M,Quiksilver,197095016792,265.95,0,MEN45178445M,TIE DYE TRUE BLACK,M,EQYTJ03413-KVJ8,S CARLSON STCH SNJT KVJ8,Clothing ,"['quiksilver', 'carlson', 'stretch', 'quest', 'jkt', 'tye', 'dye', 'true', 'black']",57,
Clothing - Socks,Stance,Divided Lines Crew Blue M,Stance,190107570794,24.99,0,DIV21192576M,BLUE,M,A448A24DIV,DIVIDED LINES CREW,Clothing ,"['divided', 'lines', 'crew', 'blue']",44,
Accessories - Summer - Hydration Packs/Bladders/filters,Dakine,Dakine - Hot Laps Hydration Pack - Sparrow - 2L,Dakine,194626391243,50.0,0,HOT18234269S,Sparrow,OS,10003406,HOT LAPS 2L,Accessories ,"['dakine', 'hot', 'laps', 'hydration', 'pack', 'sparrow', '2l']",6,
Clothing - Winter - Street Wear - Mens,Quiksilver,Quiksilver - Big Logo Tech Hoodie - True Black - M,Quiksilver,197095014378,75.95,0,MEN3791625M,True Black,M,EQYFT04786-KVJ0,BIG LOGO TECH  OTLR KVJ0,Clothing ,"['quiksilver', 'big', 'logo', 'tech', 'hoodie', 'true', 'black']",65,
Accessories - Winter - Gloves & Mittens,Dakine,Women's Excursion Gore-Tex Short Glove Dark Rose  Caramel M,Dakine,610934368079,105.0,0,WOM48535596M,Dark Rose / Caramel,M,10003193,WOMEN'S EXCURSION GORE-TEX SHORT GLOVE,Accessories ,"['women', ""'s"", 'excursion', 'gore-tex', 'short', 'glove', 'dark', 'rose', 'caramel']",16,
Logo Merchandise - Clothing - Outer Wear,Gear For Sports,SUNLIGHT MTN LC EMB-Grey-LG,Gear For Sports,197837466397,69.99,4,SUN22951846G,Grey,LG,UW1449,AEU03814825: SUNLIGHT MTN LC EMB,Logo Merchandise ,"['sunlight', 'mtn', 'lc', 'emb-grey-lg']",74,Clothing - Winter - Street Wear - Mens
Ski Hardgoods - Boots - Men,Head - Tyrolia,Head - Formula 100 Ski Boots - Black - 26.5 ,Head - Tyrolia,194151618785,550.0,0,FOR188272875,Black,265,601171,FORMULA 100 BLACK,Ski Hardgoods ,"['head', 'formula', '100', 'ski', 'boots', 'black', '26.5']",85,
Ski Hardgoods - Boots - Men,Salomon,Shift Pro 120 At Belluga Black Silver 88.5,Salomon,193128303297,850.0,0,SHI346606815,Belluga,8/8.5,L41167800,SHIFT PRO 120 AT,Ski Hardgoods ,"['shift', 'pro', '120', 'belluga', 'black', 'silver', '88.5']",85,
Clothing - Winter - Outerwear - Mens,Burton,Burton - Frostner Jacket - Seal Brown/Bison - M's XL,Burton,193177289641,259.95,0,MEN34252518L,Seal Brown / Bison,XL,214691,Men's Frostner Jacket,Clothing ,"['burton', 'frostner', 'jacket', 'seal', 'brown/bison', ""'s"", 'xl']",55,
Accessories - Winter - Apres & Casual Footwear,Vans,Vans - Snow Lodge Slipper - Bone/Black - 7,Vans,195440309315,80.0,0,USN426167237,(A17) Bone/Black,7,VN0A5JI3A17,U SNOW LODGE SLIPPER MID VANSGUARD,Accessories ,"['vans', 'snow', 'lodge', 'slipper', 'bone/black', '7']",11,Clothing - Winter - Outerwear - Mens
